1,Yoan Moncada,2B,White Sox
2,Vladimir Guerrero Jr.,3B,Blue Jays
3,Gleyber Torres,SS,Yankees
4,Amed Rosario,SS,Mets
5,Eloy Jimenez,OF,White Sox
6,Rafael Devers,3B,Red Sox
7,Brendan Rodgers,SS,Rockies
8,Victor Robles,OF,Nationals
9,Nick Senzel,3B,Reds
10,Ronald Acuna,OF,Braves
11,Kyle Tucker,OF,Astros
12,Alex Reyes,RHP,Cardinals
13,Willy Adames,SS,Rays
14,Brent Honeywell,RHP,Rays
15,Mitch Keller,RHP,Pirates
16,Lewis Brinson,OF,Brewers
17,Walker Buehler,RHP,Dodgers
18,Francisco Mejia,C,Indians
19,Nick Gordon,SS,Twins
20,Michael Kopech,RHP,White Sox
21,Cal Quantrill,RHP,Padres
22,Austin Meadows,OF,Pirates
23,Kolby Allard,LHP,Braves
24,Triston McKenzie,RHP,Indians
25,Ozzie Albies,2B,Braves
26,Franklin Barreto,SS,Athletics
27,A.J. Puk,LHP,Athletics
28,Bradley Zimmer,OF,Indians
29,Chance Sisco,C,Orioles
30,Hunter Greene,RHP,Reds
31,MacKenzie Gore,LHP,Padres
32,Franklin Perez,RHP,Astros
33,Mike Soroka,RHP,Braves
34,Leody Taveras,OF,Rangers
35,Alex Verdugo,OF,Dodgers
36,Blake Rutherford,OF,Yankees
37,Luis Urias,2B,Padres
38,Anthony Alford,OF,Blue Jays
39,Royce Lewis,SS,Twins
40,Brendan McKay,LHP/1B,Rays
41,Kyle Wright,RHP,Braves
42,Sean Newcomb,LHP,Braves
43,Brandon Woodruff,RHP,Brewers
44,Bo Bichette,SS,Blue Jays
45,Luis Robert,OF,White Sox
46,Mickey Moniak,OF,Phillies
47,Sixto Sanchez,RHP,Phillies
48,Francis Martes,RHP,Astros
49,Clint Frazier,OF,Yankees
50,Dominic Smith,1B,Mets
51,Carson Kelly,C,Cardinals
52,Scott Kingery,2B,Phillies
53,Alex Faedo,RHP,Tigers
54,Derek Fisher,OF,Astros
55,Ian Anderson,RHP,Braves
56,Chance Adams,RHP,Yankees
57,Jack Flaherty,RHP,Cardinals
58,Forrest Whitley,RHP,Astros
59,Reynaldo Lopez,RHP,White Sox
60,Yadier Alvarez,RHP,Dodgers
61,Josh Hader,LHP,Brewers
62,Kyle Lewis,OF,Mariners
63,Raimel Tapia,OF,Rockies
64,Anderson Espinoza,RHP,Padres
65,Luke Weaver,RHP,Cardinals
66,Jake Bauers,OF/1B,Rays
67,Luis Ortiz,RHP,Brewers
68,Anthony Banda,LHP,D-backs
69,Rhys Hoskins,1B,Phillies
70,Erick Fedde,RHP,Nationals
71,Estevan Florial,OF,Yankees
72,Kevin Maitan,SS,Braves
73,Justus Sheffield,LHP,Yankees
74,Willie Calhoun,2B,Dodgers
75,Lucas Giolito,RHP,White Sox
76,Luiz Gohara,LHP,Braves
77,Riley Pint,RHP,Rockies
78,Tyler Mahle,RHP,Reds
79,Matt Manning,RHP,Tigers
80,Beau Burrows,RHP,Tigers
81,Jorge Alfaro,C,Phillies
82,Luis Castillo,RHP,Reds
83,Dylan Cease,RHP,White Sox
84,Nick Neidert,RHP,Mariners
85,Adrian Morejon,LHP,Padres
86,Chris Shaw,1B/OF,Giants
87,Jason Groome,LHP,Red Sox
88,Kevin Newman,SS,Pirates
89,Dustin Fowler,OF,Yankees
90,Lourdes Gurriel,SS,Blue Jays
91,Ryan McMahon,1B/3B,Rockies
92,J.P. Crawford,SS,Phillies
93,Bobby Bradley,1B,Indians
94,Matt Chapman,3B,Athletics
95,Juan Soto,OF,Nationals
96,Michael Chavis,3B,Red Sox
97,Jordon Adell,OF,Angels
98,Adam Haseley,OF,Phillies
99,Austin Hays,OF,Orioles
100,Jesus Sanchez,OF,Rays
101,Fernando Tatis Jr.,SS,Padres