1,Amed Rosario,SS,New York Mets
2,Gleyber Torres,SS,New York Yankees
3,Cody Bellinger,1B/OF,Los Angeles Dodgers
4,J.P Crawford,SS,Philadelphia Phillies
5,Michael Kopech,RHP,Chicago White Sox
6,Victor Robles,OF,Washington Nationals
7,Rafael Devers,3B,Boston Red Sox
8,Austin Meadows,OF,Pittsburgh Pirates
9,Eloy Jimenez,OF,Chicago Cubs
10,Nick Senzel,3B,Cincinnati Reds
11,Lucas Giolito,RHP,Chicago White Sox
12,Mitch Keller,RHP,Pittsburgh Pirates
13,Yoan Moncada,2B,Chicago White Sox
14,Francisco Mejia,C,Cleveland Indians
15,Jason Groome,LHP,Boston Red Sox
16,Blake Rutherford,OF,New York Yankees
17,Brendan Rodgers,SS,Colorado Rockies
18,Cal Quantrill,RHP,San Diego Padres
19,Anderson Espinoza,RHP,San Diego Padres
20,Clint Frazier,OF,New York Yankees
21,Ozhaino Albies,SS/2B,Atlanta Braves
22,Dominic Smith,1B,New York Mets
23,Alex Verdugo,OF,Los Angeles Dodgers
24,Mickey Moniak,OF,Philadelphia Phillies
25,Kolby Allard,LHP,Atlanta Braves
26,Kevin Newman,SS,Pittsburgh Pirates
27,Corey Ray,OF,Milwaukee Brewers
28,Ronald Acuna,OF,Atlanta Braves
29,Leody Taveras,OF,Texas Rangers
30,Francis Martes,RHP,Houston Astros
31,Lewis Brinson,CF,Milwaukee Brewers
32,Walker Buehler,RHP,Los Angeles Dodgers
33,Isan Diaz,2B/SS,Milwaukee Brewers
34,Braxton Garrett,LHP,Miami Marlins
35,Willy Adames,SS,Tampa Bay Rays
36,Jorge Alfaro,C,Philadelphia Phillies
37,Fernando Tatis Jr.,SS,San Diego Padres
38,Vladimir Guerrero Jr.,3B,Toronto Blue Jays
39,Alex Reyes,RHP,St. Louis Cardinals
40,Jesse Winker,OF,Cincinnati Reds
41,Max Fried,LHP,Atlanta Braves
42,Carson Kelly,C,St. Louis Cardinals
43,Ian Anderson,RHP,Atlanta Braves
44,Nick Gordon,SS,Minnesota Twins
45,Anthony Alford,OF,Toronto Blue Jays
46,Ian Happ,2B,Chicago Cubs
47,Tyler Beede,RHP,San Francisco Giants
48,Franklin Barreto,SS,Oakland Athletics
49,Kyle Tucker,OF,Houston Astros
50,Mitch White,RHP,Los Angeles Dodgers