1,Andrew Benintendi,OF,22,Boston Red Sox,18
2,Dansby Swanson,SS,23,Atlanta Braves,13
3,Amed Rosario,SS,21,New York Mets,42
4,Gleyber Torres,SS,20,New York Yankees,15
5,J.P. Crawford,SS,22,Philadelphia Phillies,4
6,Cody Bellinger,1B/OF,21,Los Angeles Dodgers,92
7,Michael Kopech,RHP,21,Chicago White Sox,NR
8,Victor Robles,CF,20,Washington Nationals,49
9,Austin Meadows,OF,22,Pittsburgh Pirates,16
10,Alex Reyes,RHP,22,St. Louis Cardinals,8
11,Rafael Devers,3B,20,Boston Red Sox,7
12,Eloy Jimenez,OF,20,Chicago Cubs,NR
13,Lucas Giolito,RHP,22,Chicago White Sox,3
14,Josh Bell,1B/OF,24,Pittsburgh Pirates,56
15,Nick Senzel,3B,22,Cincinnati Reds,NE
16,Mitch Keller,RHP,21,Pittsburgh Pirates,NR
17,Yoan Moncada,2B/3B,22,Chicago White Sox,17
18,Francisco Mejia,C,21,Cleveland Indians,NR
19,Brendan Rodgers,SS,20,Colorado Rockies,11
20,Jason Groome,LHP,18,Boston Red Sox,NE
21,Anderson Espinoza,RHP,19,San Diego Padres,38
22,Blake Rutherford,OF,20,New York Yankees,NE
23,Cal Quantrill,RHP,22,San Diego Padres,NE
24,Manuel Margot,CF,22,San Diego Padres,25
25,Tyler Glasnow,RHP,23,Pittsburgh Pirates,6
26,Ozhaino Albies,SS/2B,20,Atlanta Braves,20
27,Clint Frazier,OF,22,New York Yankees,72
28,James Kaprielian,RHP,23,New York Yankees,87
29,Dominic Smith,1B,22,New York Mets,29
30,Mickey Moniak,OF,19,Philadelphia Phillies,NE
31,Alex Verdugo,OF,21,Los Angeles Dodgers,51
32,Kolby Allard,LHP,19,Atlanta Braves,43
33,Kevin Newman,SS,23,Pittsburgh Pirates,23
34,Corey Ray,OF,22,Milwaukee Brewers,NE
35,Leody Taveras,OF,18,Texas Rangers,NR
36,Ronald Acuna,CF,19,Atlanta Braves,NR
37,Francis Martes,RHP,21,Houston Astros,40
38,Lewis Brinson,CF,23,Milwaukee Brewers,32
39,Amir Garrett,LHP,25,Cincinnati Reds,86
40,Walker Buehler,RHP,22,Los Angeles Dodgers,NR
41,Isan Diaz,2B/SS,21,Milwaukee Brewers,NR
42,Braxton Garrett,LHP,19,Miami Marlins,NE
43,Willy Adames,SS,21,Tampa Bay Rays,NR
44,Aaron Judge,RF,25,New York Yankees,26
45,Jorge Alfaro,C,24,Philadelphia Phillies,82
46,Yadier Alvarez,RHP,21,Los Angeles Dodgers,NR
47,Fernando Tatis Jr.,SS/3B,18,San Diego Padres,NR
48,Vladimir Guerrero Jr.,3B,18,Toronto Blue Jays,40
49,Jesse Winker,OF,23,Cincinnati Reds,41
50,Max Fried,LHP,23,Atlanta Braves,96
51,Carson Kelly,C,22,St. Louis Cardinals,NR
52,Ian Anderson,RHP,19,Atlanta Braves,NE
53,Nick Gordon,SS,21,Minnesota Twins,98
54,Brent Honeywell,RHP,22,Tampa Bay Rays,64
55,Anthony Alford,OF,22,Toronto Blue Jays,52
56,Franklin Barreto,SS,21,Oakland Athletics,22
57,Kyle Tucker,OF,20,Houston Astros,67
58,Raimel Tapia,OF,23,Colorado Rockies,78
59,Kevin Maitan,SS,17,Atlanta Braves,NE
60,Thomas Szapucki,LHP,21,New York Mets,NR
61,Delvin Perez,SS,18,St. Louis Cardinals,NE
62,Tyler Beede,RHP,24,San Francisco Giants,NR
63,Ian Happ,2B/OF,22,Chicago Cubs,47
64,Ariel Jurado,RHP,21,Texas Rangers,NR
65,Fernando Romero,RHP,22,Minnesota Twins,NR
66,Franklin Perez,RHP,19,Houston Astros,NR
67,Trent Clark,OF,20,Milwaukee Brewers,70
68,Kyle Lewis,OF,21,Seattle Mariners,NE
69,Chance Sisco,C,22,Baltimore Orioles,81
70,Lucas Erceg,3B,22,Milwaukee Brewers,NE
71,Josh Hader,LHP,23,Milwaukee Brewers,NR
72,Sean Reid-Foley,RHP,21,Toronto Blue Jays,NR
73,Jose De Leon,RHP,24,Tampa Bay Rays,60
74,Ke'Bryan Hayes,3B,20,Pittsburgh Pirates,JM
75,Yohander Mendez,LHP,22,Texas Rangers,NR
76,Robert Gsellman,RHP,23,New York Mets,NR
77,Luiz Gohara,LHP,20,Atlanta Braves,NR
78,Forrest Whitley,RHP,19,Houston Astros,NE
79,Luis Ortiz,RHP,21,Milwaukee Brewers,79
80,Adrian Morejon,LHP,18,San Diego Padres,NE
81,Sean Newcomb,LHP,24,Atlanta Braves,30
82,Matt Manning,RHP,19,Detroit Tigers,NE
83,Riley Pint,RHP,19,Colorado Rockies,NR
84,Justin Dunn,RHP,21,New York Mets,NE
85,Triston McKenzie,RHP,19,Cleveland Indians,NR
86,Dylan Cease,RHP,21,Chicago Cubs,91
87,Kohl Stewart,RHP,22,Minnesota Twins,53
88,Justus Sheffield,LHP,21,New York Yankees,NR
89,Jack Flaherty,RHP,21,St. Louis Cardinals,83
90,Jahmai Jones,OF,19,Los Angeles Angels,NR
91,Stephen Gonsalves,LHP,22,Minnesota Twins,NR
92,Christin Stewart,OF,23,Detroit Tigers,NR
93,A. J. Puk,LHP,22,Oakland Athletics,NE
94,Luis Castillo,RHP,24,Cincinnati Reds,NR
95,Zack Collins,C,22,Chicago White Sox,NE
96,Jeff Hoffman,RHP,24,Colorado Rockies,90
97,Alex Kirilloff,OF,19,Minnesota Twins,NE
98,Sam Travis,1B,23,Boston Red Sox,NR
99,Robert Stephenson,RHP,23,Cincinnati Reds,31
100,Brandon Woodruff,RHP,24,Milwaukee Brewers,NR